Distance(Angstrom),Energy(Hartree)
5.000000000000000000e-01,-1.081204359741294585e+00
5.641025641025640969e-01,-1.124943376811258444e+00
6.282051282051281937e-01,-1.149404401245352147e+00
6.923076923076922906e-01,-1.161299202561370425e+00
7.564102564102563875e-01,-1.164881412648510528e+00
8.205128205128204844e-01,-1.162928978341079223e+00
8.846153846153845812e-01,-1.157309100238379962e+00
9.487179487179486781e-01,-1.149310855955109290e+00
1.012820512820512775e+00,-1.139842867029283280e+00
1.076923076923076872e+00,-1.129553477501287873e+00
1.141025641025640969e+00,-1.118907340280068885e+00
1.205128205128205066e+00,-1.108237129216310901e+00
1.269230769230769162e+00,-1.097780124508418886e+00
1.333333333333333259e+00,-1.087704678336036235e+00
1.397435897435897356e+00,-1.078129266678114595e+00
1.461538461538461453e+00,-1.069135809838298146e+00
1.525641025641025550e+00,-1.060778549361723444e+00
1.589743589743589647e+00,-1.053089662790320791e+00
1.653846153846153744e+00,-1.046082775309109314e+00
1.717948717948717841e+00,-1.039755426537947613e+00
1.782051282051281937e+00,-1.034091283507797554e+00
1.846153846153846034e+00,-1.029062505482014167e+00
1.910256410256410131e+00,-1.024632309741758229e+00
1.974358974358974228e+00,-1.020757580829555922e+00
2.038461538461538325e+00,-1.017391323594233565e+00
2.102564102564102200e+00,-1.014484815521244476e+00
2.166666666666666519e+00,-1.011989390144377055e+00
2.230769230769230838e+00,-1.009857840532307094e+00
2.294871794871794712e+00,-1.008045461874291560e+00
2.358974358974358587e+00,-1.006510766946513424e+00
2.423076923076922906e+00,-1.005215915184267450e+00
2.487179487179487225e+00,-1.004126901368737501e+00
2.551282051282051100e+00,-1.003213553169026717e+00
2.615384615384614975e+00,-1.002449387795243840e+00
2.679487179487179294e+00,-1.001811372903843811e+00
2.743589743589743613e+00,-1.001279632686574272e+00
2.807692307692307487e+00,-1.000837129160197625e+00
2.871794871794871362e+00,-1.000469341176038585e+00
2.935897435897435681e+00,-1.000163955515542602e+00
3.000000000000000000e+00,-9.999105784776589623e-01
