Gv (cm^-1),Variable,Value
2168.601812575725,re,0.7429799247496368
6314.0172486768815,r0,0.7527625587441531
10203.715099377647,we,4401.133021501548
13837.69536467802,wexe,127.85879270019566
17215.958044578,nu,4145.415436101156
20338.503139077595,E(re),-1.1726355833232844
23205.330648176794,ZPVE(harmonic),2200.566510750774
25816.440571875602,ZPVE(anharmonic),2168.601812575725
28171.83291017402,Be,60.6020328259664
30271.507663072043,B0,59.037142855972895
32115.46483056968,ae,3.1297799399869977
33703.70441266692,De,0.04596132901325918
35036.22640936378,nan,nan
36113.030820660235,nan,nan
36934.117646556304,nan,nan
37499.486887051986,nan,nan
