R_angstrom,E_FIC_aug-cc-pVQZ_hartree
0.2,0.831350398
0.204804805,0.775299755
0.20960961,0.722094106
0.214414414,0.671539867
0.219219219,0.623460372
0.224024024,0.577694067
0.228828829,0.534092934
0.233633634,0.49252111
0.238438438,0.452853669
0.243243243,0.414975546
0.248048048,0.378780593
0.252852853,0.344170733
0.257657658,0.311055207
0.262462462,0.279349916
0.267267267,0.248976813
0.272072072,0.219863377
0.276876877,0.191942132
0.281681682,0.165150214
0.286486486,0.139428989
0.291291291,0.114723698
0.296096096,0.090983149
0.300900901,0.068159426
0.305705706,0.046207633
0.310510511,0.025085662
0.315315315,0.00475398
0.32012012,-0.014824567
0.324924925,-0.033684926
0.32972973,-0.051860002
0.334534535,-0.0693808
0.339339339,-0.08627656
0.344144144,-0.102574884
0.348948949,-0.118301842
0.353753754,-0.133482081
0.358558559,-0.148138917
0.363363363,-0.162294423
0.368168168,-0.175969511
0.372972973,-0.189184004
0.377777778,-0.201956706
0.382582583,-0.214305466
0.387387387,-0.226247238
0.392192192,-0.237798131
0.396996997,-0.248973465
0.401801802,-0.259787816
0.406606607,-0.270255057
0.411411411,-0.280388403
0.416216216,-0.290200448
0.421021021,-0.299703198
0.425825826,-0.308908105
0.430630631,-0.317826099
0.435435435,-0.326467617
0.44024024,-0.334842627
0.445045045,-0.342960657
0.44984985,-0.350830817
0.454654655,-0.358461819
0.459459459,-0.365862
0.464264264,-0.373039345
0.469069069,-0.380001496
0.473873874,-0.386755778
0.478678679,-0.393309213
0.483483483,-0.399668531
0.488288288,-0.405840189
0.493093093,-0.411830384
0.497897898,-0.417645063
0.502702703,-0.423289937
0.507507508,-0.428770492
0.512312312,-0.434092001
0.517117117,-0.439259531
0.521921922,-0.444277954
0.526726727,-0.449151957
0.531531532,-0.45388605
0.536336336,-0.458484573
0.541141141,-0.462951705
0.545945946,-0.467291468
0.550750751,-0.471507741
0.555555556,-0.475604256
0.56036036,-0.479584616
0.565165165,-0.483452289
0.56996997,-0.487210624
0.574774775,-0.490862849
0.57957958,-0.494412078
0.584384384,-0.497861318
0.589189189,-0.50121347
0.593993994,-0.504471337
0.598798799,-0.507637625
0.603603604,-0.510714946
0.608408408,-0.513705828
0.613213213,-0.516612711
0.618018018,-0.519437955
0.622822823,-0.522183839
0.627627628,-0.524852572
0.632432432,-0.527446286
0.637237237,-0.529967047
0.642042042,-0.532416851
0.646846847,-0.534797632
0.651651652,-0.537111262
0.656456456,-0.539359554
0.661261261,-0.541544263
0.666066066,-0.543667088
0.670870871,-0.545729677
0.675675676,-0.547733626
0.68048048,-0.549680482
0.685285285,-0.551571745
0.69009009,-0.553408868
0.694894895,-0.555193262
0.6996997,-0.556926294
0.704504505,-0.55860929
0.709309309,-0.560243539
0.714114114,-0.561830289
0.718918919,-0.563370753
0.723723724,-0.564866108
0.728528529,-0.566317497
0.733333333,-0.567726031
0.738138138,-0.569092787
0.742942943,-0.570418812
0.747747748,-0.571705126
0.752552553,-0.572952715
0.757357357,-0.574162542
0.762162162,-0.575335541
0.766966967,-0.57647262
0.771771772,-0.577574663
0.776576577,-0.578642529
0.781381381,-0.579677053
0.786186186,-0.580679048
0.790990991,-0.581649305
0.795795796,-0.582588593
0.800600601,-0.583497661
0.805405405,-0.584377238
0.81021021,-0.585228034
0.815015015,-0.586050738
0.81981982,-0.586846023
0.824624625,-0.587614544
0.829429429,-0.588356939
0.834234234,-0.589073828
0.839039039,-0.589765816
0.843843844,-0.590433493
0.848648649,-0.591077433
0.853453453,-0.591698194
0.858258258,-0.592296323
0.863063063,-0.592872349
0.867867868,-0.593426791
0.872672673,-0.593960154
0.877477477,-0.594472928
0.882282282,-0.594965594
0.887087087,-0.59543862
0.891891892,-0.59589246
0.896696697,-0.596327561
0.901501502,-0.596744354
0.906306306,-0.597143264
0.911111111,-0.597524703
0.915915916,-0.597889072
0.920720721,-0.598236765
0.925525526,-0.598568166
0.93033033,-0.598883646
0.935135135,-0.599183572
0.93993994,-0.5994683
0.944744745,-0.599738176
0.94954955,-0.59999354
0.954354354,-0.600234723
0.959159159,-0.600462049
0.963963964,-0.600675832
0.968768769,-0.600876382
0.973573574,-0.601063998
0.978378378,-0.601238976
0.983183183,-0.601401601
0.987987988,-0.601552155
0.992792793,-0.601690912
0.997597598,-0.601818138
1.002402402,-0.601934095
1.007207207,-0.602039039
1.012012012,-0.602133219
1.016816817,-0.602216879
1.021621622,-0.602290258
1.026426426,-0.602353588
