Gv (cm^-1),Variable,Value
1144.3407623499556,re,1.0581184883258379
3333.33846392623,r0,1.0721635874956323
5389.424401337655,we,2321.9094657411238
7312.59857458423,wexe,66.45588208242474
9102.860983665956,nu,2188.9977015762743
10760.211628582832,E(re),-0.6023017178901097
12284.65050933486,ZPVE(harmonic),1160.9547328705619
13676.177625922035,ZPVE(anharmonic),1144.3407623499556
14934.792978344365,Be,29.879460066983587
16060.496566601843,B0,29.101759239434486
17053.28839069447,ae,1.5554016550982013
17913.168450622252,De,0.019791907990559625
18640.136746385182,nan,nan
19234.193277983264,nan,nan
19695.338045416494,nan,nan
20023.571048684877,nan,nan
