Gv (cm^-1),Variable,Value
2168.53841606267,re,0.7419926438186338
6316.909865367314,r0,0.7515636605118232
10213.674137577695,we,4399.978626398905
13858.831232693814,wexe,125.80358854713099
17252.38115071567,nu,4148.371449304644
20394.323891643267,E(re),-1.1738674505552547
23284.6594554766,ZPVE(harmonic),2199.9893131994527
25923.38784221567,ZPVE(anharmonic),2168.53841606267
28310.509051860485,Be,60.763411882813564
30446.023084411027,B0,59.225645796885296
32329.929939867314,ae,3.0755321718565427
33962.229618229336,De,0.046353796792340494
35342.9221194971,nan,nan
36472.007443670605,nan,nan
37349.48559074984,nan,nan
37975.35656073482,nan,nan
38349.62035362552,nan,nan
38472.276969421975,nan,nan
38343.32640812417,nan,nan
37962.7686697321,nan,nan
37330.60375424577,nan,nan
