Gv (cm^-1),Variable,Value
1144.9546805739087,re,1.056884425932756
3333.738852947412,r0,1.0713529425676007
5387.689440288495,we,2323.6177574059225
7306.806442597159,wexe,67.41679251620981
9091.089859873402,nu,2188.7841723735028
10740.539692117227,E(re),-0.602622666911583
12255.155939328633,ZPVE(harmonic),1161.8088787029612
13634.938601507616,ZPVE(anharmonic),1144.9546805739087
14879.887678654184,Be,29.9492778150461
15990.00317076833,B0,29.145815904213865
16965.285077850054,ae,1.6069238216644681
17805.733399899364,De,0.019901677353202925
18511.348136916247,nan,nan
19082.129288900716,nan,nan
19518.076855852763,nan,nan
19819.19083777239,nan,nan
19985.471234659602,nan,nan
20016.918046514387,nan,nan
19913.531273336757,nan,nan
19675.310915126705,nan,nan
19302.25697188424,nan,nan
