Gv (cm^-1),Variable,Value
1147.4668961595964,re,1.056999988999312
3320.8428759507638,r0,1.0728785685871989
5332.14177237123,we,2335.453063161868
7181.363585420994,wexe,81.03854168535051
8868.50831510006,nu,2173.375979791167
10393.575961408422,E(re),-0.6022447180981324
11756.566524346084,ZPVE(harmonic),1167.726531580934
12957.480003913046,ZPVE(anharmonic),1147.4668961595964
13996.316400109306,Be,29.94272939267679
14873.075712934866,B0,29.062984535397483
15587.75794238972,ae,1.7594897145586128
16140.363088473878,De,0.019687558453015192
16530.891151187338,nan,nan
16759.34213053009,nan,nan
16825.71602650214,nan,nan
16730.012839103496,nan,nan
16472.232568334148,nan,nan
16052.3752141941,nan,nan
15470.44077668335,nan,nan
14726.4292558019,nan,nan
13820.34065154974,nan,nan
