Distance(Angstrom),Ground_Energy(Hartree),Excited_1_Energy(Hartree),Excited_2_Energy(Hartree),Excited_3_Energy(Hartree),Excited_4_Energy(Hartree),Excited_5_Energy(Hartree)
5.000000000000000000e-01,-7.637210859461163182e-01,-5.949999999999999734e-01,-5.725423690876182414e-01,-7.272922804574788458e-02,2.159645604786804451e+00,5.891203517427350267e-01
5.454545454545454142e-01,-8.228242335446137590e-01,-6.028787878787877919e-01,-5.915053165297707860e-01,-1.459546111312238770e-01,1.863518675336815811e+00,4.585925879112262571e-01
5.909090909090909394e-01,-8.748984869674201192e-01,-6.094755244755244439e-01,-6.089304897507024084e-01,-2.113196245652371186e-01,1.595395770381688116e+00,3.397436702082436977e-01
6.363636363636363535e-01,-9.206512059902098866e-01,-6.150649350649349811e-01,-6.249331705822581684e-01,-2.696157873636220725e-01,1.352742452508360227e+00,2.315990026081060638e-01
6.818181818181818787e-01,-9.607229691993208753e-01,-6.198484848484847598e-01,-6.396202895948936984e-01,-3.215571737390389706e-01,1.133249009133320051e+00,1.332628426228363860e-01
7.272727272727272929e-01,-9.956937004017575310e-01,-6.239772727272726582e-01,-6.530910213562153288e-01,-3.677878864302926432e-01,9.348107248190402618e-01,4.391201478511219669e-02
7.727272727272727071e-01,-1.026088240704305266e+00,-6.275668449197860932e-01,-6.654373375971350812e-01,-4.088888138034705855e-01,7.555098767663519510e-01,-3.720987831938660229e-02
8.181818181818181213e-01,-1.052381416076943799e+00,-6.307070707070706606e-01,-6.767445212502910534e-01,-4.453837391291571857e-01,5.935993033465414292e-01,-1.107977867053490106e-01
8.636363636363636465e-01,-1.075002645754478348e+00,-6.334688995215310703e-01,-6.870916441169969691e-01,-4.777448639184547208e-01,4.474874086011746410e-01,-1.774901214738452415e-01
9.090909090909091717e-01,-1.094340132767878560e+00,-6.359090909090908683e-01,-6.965520107252323179e-01,-5.063978013002059519e-01,3.157244775658061275e-01,-2.378732744324783543e-01
9.545454545454545858e-01,-1.110744674197593040e+00,-6.380735930735930150e-01,-7.051935707610312853e-01,-5.317260900835191206e-01,1.969901881646015651e-01,-2.924857795295631724e-01
1.000000000000000000e+00,-1.124533125372663811e+00,-6.399999999999999023e-01,-7.130793022881354304e-01,-5.540752753199391645e-01,9.008221536669303031e-02,-3.418221443667588955e-01
1.045454545454545414e+00,-1.135991549172229664e+00,-6.417193675889327764e-01,-7.202675678150338712e-01,-5.737565968099733738e-01,-6.094167625990132287e-03,-3.863363778290977990e-01
1.090909090909090828e+00,-1.145378078793102272e+00,-6.432575757575756947e-01,-7.268124451237244488e-01,-5.910503230453429957e-01,-9.253557810026380448e-02,-4.264452378209074301e-01
1.136363636363636243e+00,-1.152925519803982946e+00,-6.446363636363635630e-01,-7.327640346398930360e-01,-6.062087645016602799e-01,-1.701491818350696628e-01,-4.625312212069506712e-01
1.181818181818181879e+00,-1.158843714991273588e+00,-6.458741258741258484e-01,-7.381687449990438354e-01,-6.194589969603705448e-01,-2.397605928490118554e-01,-4.949453163175336901e-01
1.227272727272727293e+00,-1.163321693392976419e+00,-6.469865319865318876e-01,-7.430695583467290533e-01,-6.310053226112609659e-01,-3.021210810452996665e-01,-5.240095367726821385e-01
1.272727272727272707e+00,-1.166529622997371396e+00,-6.479870129870130002e-01,-7.475062768028225557e-01,-6.410314940383115001e-01,-3.579141481470658470e-01,-5.500192539029875594e-01
1.318181818181818343e+00,-1.168620584835154741e+00,-6.488871473354231867e-01,-7.515157514191788124e-01,-6.497027237955259604e-01,-4.077615270568104577e-01,-5.732453436834593630e-01
1.363636363636363757e+00,-1.169732184602148894e+00,-6.496969696969696617e-01,-7.551320948664826949e-01,-6.571675001116413783e-01,-4.522286549720504478e-01,-5.939361628425574580e-01
1.409090909090909172e+00,-1.169988016500593364e+00,-6.504252199413489421e-01,-7.583868789991299320e-01,-6.635592273014877529e-01,-4.918296662052900614e-01,-6.123193676530995777e-01
1.454545454545454586e+00,-1.169498992667642900e+00,-6.510795454545453831e-01,-7.613093183661258090e-01,-6.689977076875921469e-01,-5.270319466538851971e-01,-6.286035878471643024e-01
1.500000000000000000e+00,-1.168364550358460985e+00,-6.516666666666666163e-01,-7.639264406608125002e-01,-6.735904802305929806e-01,-5.582602882110858644e-01,-6.429799671163303199e-01
1.545454545454545414e+00,-1.166673747957618801e+00,-6.521925133689838727e-01,-7.662632450323486610e-01,-6.774340296150183072e-01,-5.859006780732125552e-01,-6.556235807549725125e-01
1.590909090909090828e+00,-1.164506259896800122e+00,-6.526623376623376105e-01,-7.683428491168839969e-01,-6.806148782234355821e-01,-6.103037548519114619e-01,-6.666947401718567034e-01
1.636363636363636465e+00,-1.161933279650290807e+00,-6.530808080808080396e-01,-7.701866255859551869e-01,-6.832105722436894180e-01,-6.317879606194971576e-01,-6.763401932282989693e-01
1.681818181818181879e+00,-1.159018339154442634e+00,-6.534520884520883532e-01,-7.718143289534697971e-01,-6.852905720789878030e-01,-6.506424154764721690e-01,-6.846942286545640854e-01
1.727272727272727293e+00,-1.155818052245964234e+00,-6.537799043062200166e-01,-7.732442133304175957e-01,-6.869170562581756734e-01,-6.671295389123725883e-01,-6.918796921452057269e-01
1.772727272727272707e+00,-1.152382789029904764e+00,-6.540675990675990370e-01,-7.744931417679070673e-01,-6.881456471638727201e-01,-6.814874401148907079e-01,-6.980089211343268873e-01
1.818181818181818121e+00,-1.148757287465531185e+00,-6.543181818181817988e-01,-7.755766877839844753e-01,-6.890260661004228293e-01,-6.939320974502550810e-01,-7.031846046992384913e-01
1.863636363636363757e+00,-1.144981207891470953e+00,-6.545343680709533318e-01,-7.765092296277347206e-01,-6.896027245037981146e-01,-7.046593455740451928e-01,-7.075005745319954409e-01
1.909090909090909172e+00,-1.141089635695502036e+00,-6.547186147186146998e-01,-7.773040377951465629e-01,-6.899152574444888941e-01,-7.138466870213894255e-01,-7.110425324493727661e-01
1.954545454545454586e+00,-1.137113536864683860e+00,-6.548731501057082349e-01,-7.779733562749607811e-01,-6.899990049854478613e-01,-7.216549436554536845e-01,-7.138887194798648750e-01
2.000000000000000000e+00,-1.133080170723977709e+00,-6.549999999999999156e-01,-7.785284779689983781e-01,-6.898854464244175144e-01,-7.282297620111065628e-01,-7.161105311683280128e-01
2.045454545454545414e+00,-1.129013463782333693e+00,-6.551010101010099618e-01,-7.789798147001198991e-01,-6.896025919680937033e-01,-7.337029853454826167e-01,-7.177730833722808512e-01
2.090909090909090828e+00,-1.124934348251014349e+00,-6.551778656126482359e-01,-7.793369621918265766e-01,-6.891753359497174714e-01,-7.381939040887156578e-01,-7.189357324861489484e-01
2.136363636363636687e+00,-1.120861068476503464e+00,-6.552321083172146787e-01,-7.796087603764180196e-01,-6.886257753074602750e-01,-7.418103953670789341e-01,-7.196525537186232446e-01
2.181818181818181657e+00,-1.116809458236921015e+00,-6.552651515151514117e-01,-7.798033493634400903e-01,-6.879734966843957800e-01,-7.446499613386792227e-01,-7.199727807617047892e-01
2.227272727272727515e+00,-1.112793191583790531e+00,-6.552782931354359519e-01,-7.799282213767378957e-01,-6.872358351883501859e-01,-7.468006752309710450e-01,-7.199412099259947517e-01
2.272727272727272485e+00,-1.108824009667959576e+00,-6.552727272727272290e-01,-7.799902689466652328e-01,-6.864281075582471248e-01,-7.483420431926112171e-01,-7.195985715735874200e-01
2.318181818181818343e+00,-1.104911925767265490e+00,-6.552495543672013367e-01,-7.799958296237660127e-01,-6.855638222197601994e-01,-7.493457893631206845e-01,-7.189818714558979806e-01
2.363636363636363757e+00,-1.101065410532258149e+00,-6.552097902097900883e-01,-7.799507274614325691e-01,-6.846548684745127344e-01,-7.498765709165633453e-01,-7.181247043573871780e-01
2.409090909090909172e+00,-1.097291559283106288e+00,-6.551543739279588330e-01,-7.798603114975596329e-01,-6.837116868513022361e-01,-7.499926292446138509e-01,-7.170575422560585555e-01
2.454545454545454586e+00,-1.093596243024139492e+00,-6.550841750841750466e-01,-7.797294914489572015e-01,-6.827434224527072493e-01,-7.497463829050561301e-01,-7.158079990365019407e-01
2.500000000000000000e+00,-1.089984244690806570e+00,-6.549999999999999156e-01,-7.795627708171746217e-01,-6.817580629539812254e-01,-7.491849674694543992e-01,-7.144010736299716280e-01
2.545454545454545414e+00,-1.086459382005838581e+00,-6.549025974025972641e-01,-7.793642775903426578e-01,-6.807625627515763167e-01,-7.483507269543634433e-01,-7.128593733074273242e-01
2.590909090909090828e+00,-1.083024618195850053e+00,-6.547926634768740373e-01,-7.791377927125796576e-01,-6.797629546143537649e-01,-7.472816611102738316e-01,-7.112033187146254987e-01
2.636363636363636243e+00,-1.079682161705387333e+00,-6.546708463949842960e-01,-7.788867764803746319e-01,-6.787644500600678032e-01,-7.460118324680868884e-01,-7.094513321123134819e-01
2.681818181818181657e+00,-1.076433555941514353e+00,-6.545377503852078949e-01,-7.786143930140750902e-01,-6.777715295617426916e-01,-7.445717367011926990e-01,-7.076200101684884114e-01
2.727272727272727515e+00,-1.073279759987496362e+00,-6.543939393939394167e-01,-7.783235329421194226e-01,-6.767880235818969359e-01,-7.429886395493142670e-01,-7.057242825427615385e-01
2.772727272727272929e+00,-1.070221221138158318e+00,-6.542399403874813446e-01,-7.780168344259066338e-01,-6.758171853361333303e-01,-7.412868832656023255e-01,-7.037775574043909632e-01
2.818181818181818343e+00,-1.067257940031276053e+00,-6.540762463343108291e-01,-7.776967026441352626e-01,-6.748617561004197629e-01,-7.394881652886382550e-01,-7.017918549348443058e-01
2.863636363636363757e+00,-1.064389529078224816e+00,-6.539033189033187643e-01,-7.773653278470193939e-01,-6.739240237975689940e-01,-7.376117916038624767e-01,-6.997779297822238620e-01
2.909090909090909172e+00,-1.061615264832415972e+00,-6.537215909090908772e-01,-7.770247020829620377e-01,-6.730058755271605131e-01,-7.356749070425223636e-01,-6.977453833579498887e-01
2.954545454545454586e+00,-1.058934134875217037e+00,-6.535314685314684846e-01,-7.766766346929901976e-01,-6.721088446387379900e-01,-7.336927045687128279e-01,-6.957027667952544459e-01
3.000000000000000000e+00,-1.056344879745554799e+00,-6.533333333333332105e-01,-7.763227666614918032e-01,-6.712341528898871923e-01,-7.316786154248265950e-01,-6.936576753237820858e-01
3.045454545454545414e+00,-1.053846030390753086e+00,-6.531275440976933577e-01,-7.759645839055101524e-01,-6.703827481781697850e-01,-7.296444818412277655e-01,-6.916168347545146311e-01
3.090909090909090828e+00,-1.051435941571935206e+00,-6.529144385026737218e-01,-7.756034295790071864e-01,-6.695553382883205895e-01,-7.276007138658454609e-01,-6.895861807138954358e-01
3.136363636363636243e+00,-1.049112821617112168e+00,-6.526943346508563559e-01,-7.752405154630793715e-01,-6.687524210531256008e-01,-7.255564317323901502e-01,-6.875709312150818375e-01
3.181818181818182101e+00,-1.046874758878534761e+00,-6.524675324675324184e-01,-7.748769325080622217e-01,-6.679743112875453637e-01,-7.235195950608928062e-01,-6.855756531073253779e-01
3.227272727272727515e+00,-1.044719745217658646e+00,-6.522343149807938723e-01,-7.745136605887689152e-01,-6.672211648205390588e-01,-7.214971200702010590e-01,-6.836043229012805922e-01
3.272727272727272929e+00,-1.042645696810893918e+00,-6.519949494949495161e-01,-7.741515775297505009e-01,-6.664929999173244690e-01,-7.194949858779807750e-01,-6.816603824282552182e-01
3.318181818181818343e+00,-1.040650472541862825e+00,-6.517496886674968293e-01,-7.737914674534146497e-01,-6.657897163561373732e-01,-7.175183308688110051e-01,-6.797467897547879723e-01
3.363636363636363757e+00,-1.038731890220966125e+00,-6.514987714987714451e-01,-7.734340285000738113e-01,-6.651111123976666262e-01,-7.155715400243090052e-01,-6.778660657402090228e-01
3.409090909090909172e+00,-1.036887740850408690e+00,-6.512424242424241783e-01,-7.730798799654974296e-01,-6.644568998619372335e-01,-7.136583240301683784e-01,-6.760203365937896836e-01
3.454545454545454586e+00,-1.035115801132257429e+00,-6.509808612440191045e-01,-7.727295688982901423e-01,-6.638267175062875225e-01,-7.117817909028724133e-01,-6.742113727594967187e-01
3.500000000000000000e+00,-1.033413844398421544e+00,-6.507142857142856895e-01,-7.723835761963975255e-01,-6.632201428789938902e-01,-7.099445108130442161e-01,-6.724406244300477065e-01
3.545454545454545414e+00,-1.031779650124463155e+00,-6.504428904428904978e-01,-7.720423222392344131e-01,-6.626367028058601782e-01,-7.081485747223725813e-01,-6.707092539677331766e-01
3.590909090909090828e+00,-1.030211012173748220e+00,-6.501668584579977095e-01,-7.717061720893207966e-01,-6.620758826515182882e-01,-7.063956473962976768e-01,-6.690181654871663053e-01
3.636363636363636243e+00,-1.028705745904439528e+00,-6.498863636363635399e-01,-7.713754402948878042e-01,-6.615371344831302292e-01,-7.046870153046941310e-01,-6.673680318345874829e-01
3.681818181818182101e+00,-1.027261694259146818e+00,-6.496015712682378096e-01,-7.710503953226643947e-01,-6.610198842514897200e-01,-7.030236298772322145e-01,-6.657593191794527465e-01
3.727272727272727515e+00,-1.025876732945508518e+00,-6.493126385809312451e-01,-7.707312636479607404e-01,-6.605235380930633005e-01,-7.014061465385459382e-01,-6.641923094166352071e-01
3.772727272727272929e+00,-1.024548774805525753e+00,-6.490197152245344991e-01,-7.704182335272230508e-01,-6.600474878461684014e-01,-6.998349599104394247e-01,-6.626671205615605187e-01
3.818181818181818343e+00,-1.023275773461973959e+00,-6.487229437229437012e-01,-7.701114584764262583e-01,-6.595911158651508455e-01,-6.983102355338031142e-01,-6.611837253058574504e-01
3.863636363636363757e+00,-1.022055726321611901e+00,-6.484224598930481420e-01,-7.698110604769929921e-01,-6.591537992080028774e-01,-6.968319384313940157e-01,-6.597419678875441340e-01
3.909090909090909172e+00,-1.020886677007094123e+00,-6.481183932346722409e-01,-7.695171329293697404e-01,-6.587349132652604577e-01,-6.953998588038912132e-01,-6.583415794172888802e-01
3.954545454545454586e+00,-1.019766717282418300e+00,-6.478108672936259138e-01,-7.692297433729403666e-01,-6.583338348911621507e-01,-6.940136351254382330e-01,-6.569821917907991971e-01
