Distance(Angstrom),Energy(Hartree)
5.000000000000000000e-01,-5.295200308766683239e-01
5.641025641025640969e-01,-5.947387999862998598e-01
6.282051282051281937e-01,-6.385834879284634225e-01
6.923076923076922906e-01,-6.679146316470500055e-01
7.564102564102563875e-01,-6.871629321002512558e-01
8.205128205128204844e-01,-6.992844209323534344e-01
8.846153846153845812e-01,-7.063091396880721851e-01
9.487179487179486781e-01,-7.096683414368846199e-01
1.012820512820512775e+00,-7.103940862532642786e-01
1.076923076923076872e+00,-7.092444484162121476e-01
1.141025641025640969e+00,-7.067860702028039288e-01
1.205128205128205066e+00,-7.034524977990305183e-01
1.269230769230769162e+00,-6.995888312589408908e-01
1.333333333333333259e+00,-6.954895837628640720e-01
1.397435897435897356e+00,-6.914358726849869630e-01
1.461538461538461453e+00,-6.877387926710318844e-01
1.525641025641025550e+00,-6.847930439131535429e-01
1.589743589743589647e+00,-6.831154510460311080e-01
1.653846153846153744e+00,-6.832395528746879609e-01
1.717948717948717841e+00,-6.853075412956561863e-01
1.782051282051281937e+00,-6.887640100397991461e-01
1.846153846153846034e+00,-6.927501442795931386e-01
1.910256410256410131e+00,-6.966158633700205716e-01
1.974358974358974228e+00,-7.000143832607303995e-01
2.038461538461538325e+00,-7.028019306342878636e-01
2.102564102564102200e+00,-7.049443791026938078e-01
2.166666666666666519e+00,-7.064626137180800569e-01
2.230769230769230838e+00,-7.074036887951791197e-01
2.294871794871794712e+00,-7.078257207466793766e-01
2.358974358974358587e+00,-7.077898570000002998e-01
2.423076923076922906e+00,-7.073559575595218529e-01
2.487179487179487225e+00,-7.065803066862714754e-01
2.551282051282051100e+00,-7.055144801678302491e-01
2.615384615384614975e+00,-7.042048938216581844e-01
2.679487179487179294e+00,-7.026927610405681035e-01
2.743589743589743613e+00,-7.010142960461581696e-01
2.807692307692307487e+00,-6.992010589761302741e-01
2.871794871794871362e+00,-6.972803752737801730e-01
2.935897435897435681e+00,-6.952757845027380812e-01
3.000000000000000000e+00,-6.932074889109505200e-01
